dim,deg,parallel_depth,max_cpu,avg_time
2,4,3,14,0.026870918273925782
2,4,3,16,0.024365711212158202
2,4,3,18,0.026936602592468262
2,4,3,20,0.026531577110290527
2,4,3,22,0.02563953399658203
2,4,3,24,0.02715013027191162
2,4,3,26,0.028446507453918458
2,4,3,28,0.026985478401184083
2,4,3,30,0.02439146041870117
2,4,3,32,0.026736927032470704
2,4,3,34,0.027790474891662597
2,4,3,36,0.02445976734161377
2,4,3,38,0.02609093189239502
2,4,3,40,0.025437593460083008
2,4,4,2,0.019445466995239257
2,4,4,4,0.022310161590576173
2,4,4,6,0.02903029918670654
2,4,4,8,0.027416539192199708
2,4,4,10,0.03140711784362793
2,4,4,12,0.02467811107635498
2,4,4,14,0.028087806701660157
2,4,4,16,0.029520750045776367
2,4,4,18,0.02972080707550049
2,4,4,20,0.027418303489685058
2,4,4,22,0.02884197235107422
2,4,4,24,0.029085826873779298
2,4,4,26,0.026366138458251955
2,4,4,28,0.02723684310913086
2,4,4,30,0.027319502830505372
2,4,4,32,0.02737879753112793
2,4,4,34,0.025101232528686523
2,4,4,36,0.0297727108001709
2,4,4,38,0.026814985275268554
2,4,4,40,0.02349855899810791
2,4,5,2,0.019946527481079102
2,4,5,4,0.024646925926208495
2,4,5,6,0.024928736686706542
2,4,5,8,0.029567885398864745
2,4,5,10,0.028603172302246092
2,4,5,12,0.026510238647460938
2,4,5,14,0.027756810188293457
2,4,5,16,0.029134345054626466
2,4,5,18,0.02629110813140869
2,4,5,20,0.0297105073928833
2,4,5,22,0.028150606155395507
2,4,5,24,0.030413484573364256
2,4,5,26,0.027223038673400878
2,4,5,28,0.02633659839630127
2,4,5,30,0.028046679496765137
2,4,5,32,0.027074122428894044
2,4,5,34,0.030631327629089357
2,4,5,36,0.03017094135284424
2,4,5,38,0.0283968448638916
2,4,5,40,0.02914111614227295
2,4,6,2,0.01824674606323242
2,4,6,4,0.022725510597229003
2,4,6,6,0.029880619049072264
2,4,6,8,0.026819801330566405
2,4,6,10,0.027301549911499023
2,4,6,12,0.02646515369415283
2,4,6,14,0.025974607467651366
2,4,6,16,0.027584290504455565
2,4,6,18,0.026300573348999025
2,4,6,20,0.025110077857971192
2,4,6,22,0.028674101829528807
2,4,6,24,0.02477736473083496
2,4,6,26,0.02596001625061035
2,4,6,28,0.030240702629089355
2,4,6,30,0.025618958473205566
2,4,6,32,0.027778315544128417
2,4,6,34,0.027617239952087404
2,4,6,36,0.028502678871154784
2,4,6,38,0.025092124938964844
2,4,6,40,0.026695895195007324
2,4,7,2,0.017459821701049805
2,4,7,4,0.022653698921203613
2,4,7,6,0.02572145462036133
2,4,7,8,0.027046775817871092
2,4,7,10,0.02564980983734131
2,4,7,12,0.02711806297302246
